Sample,Type,Time,Group_Type,Group_Time
Reilly_H3K27ac_day49_rep1,C,49,E,H
Reilly_H3K27ac_day49_rep2,C,49,E,H
Reilly_H3K27ac_day60_rep1,C,60,E,I
Reilly_H3K27ac_day60_rep2,C,60,E,I
Reilly_H3K27ac_F_day84_rep1,FC,84,F,J
Reilly_H3K27ac_F_day84_rep2,FC,84,F,J
Reilly_H3K27ac_O_day84_rep1,OC,84,G,J
Reilly_H3K27ac_O_day84_rep2,OC,84,G,J
PSychENCODE_H3K27ac_CP_day109,CTX1,109,A,A
PSychENCODE_H3K27ac_SVZ.VZ_day109,CTX2,109,B,A
PsychENCODE_H3K27ac_CP_day113,CTX1,113,A,B
PSychENCODE_H3K27ac_SVZ.VZ_day113,CTX2,113,B,B
Li_H3K27ac_CBC_day119,CBC,119,C,D
Li_H3K27ac_DFC_day119,DFC,119,D,D
PSychENCODE_H3K27ac_CP_day123,CTX1,123,A,C
PSychENCODE_H3K27ac_SVZ.VZ_day123,CTX2,123,B,C
Li_H3K27ac_CBC_day133,CBC,133,C,E
Li_H3K27ac_DFC_day133,DFC,133,D,E
Li_H3K27ac_CBC_day147,CBC,147,C,F
Li_H3K27ac_DFC_day147,DFC,147,D,F
Li_H3K27ac_CBC_day268,CBC,268,C,G
Li_H3K27ac_DFC_day268,DFC,268,D,G
H3K27ac_GENSPC_HuFNSC04_day105,GENSPC,105,H,K
H3K9ac_PNSPC_HuFNSC_T_day105,PNSPC,105,I,K
